city,country,museum,url,status,http_status,final_url
Paris,France,Louvre Museum,https://www.louvre.fr/en/exhibitions-and-events/exhibitions,valid,200,https://www.louvre.fr/en/exhibitions-and-events/exhibitions
Paris,France,Musée d'Orsay,https://www.musee-orsay.fr/en/whats-on/exhibitions,valid,200,https://www.musee-orsay.fr/en/whats-on/exhibitions
Paris,France,Centre Pompidou,https://www.centrepompidou.fr/en/program/exhibitions,valid,200,https://www.centrepompidou.fr/en/program/exhibitions
Paris,France,Musée du Quai Branly – Jacques Chirac,https://m.quaibranly.fr/en/exhibitions-and-events/at-the-museum/exhibitions-1,valid,200,https://m.quaibranly.fr/en/exhibitions-and-events/at-the-museum/exhibitions-1
Paris,France,Musée de l'Orangerie,https://www.musee-orangerie.fr/en/whats-on/exhibitions,valid,200,https://www.musee-orangerie.fr/en/whats-on/exhibitions
Paris,France,Petit Palais (Musée des Beaux-Arts de Paris),https://www.petitpalais.paris.fr/en/expositions,valid,200,https://www.petitpalais.paris.fr/en/expositions
Paris,France,Musée d’Art Moderne de Paris,https://www.mam.paris.fr/en/view,valid,200,https://www.mam.paris.fr/en/view
Paris,France,Musée d’Art Moderne de Paris,https://www.mam.paris.fr/en/upcoming,valid,200,https://www.mam.paris.fr/en/upcoming
Paris,France,Musée national Picasso-Paris,https://www.museepicassoparis.fr/en/expositions-en-cours,valid,200,https://www.museepicassoparis.fr/en/expositions-en-cours
Paris,France,Musée national Picasso-Paris,https://www.museepicassoparis.fr/en/expositions-a-venir,valid,200,https://www.museepicassoparis.fr/en/expositions-a-venir
London,UK,British Museum,https://www.britishmuseum.org/exhibitions-events,browser_blocked,403,https://www.britishmuseum.org/exhibitions-events
London,UK,National Gallery (London),https://www.nationalgallery.org.uk/exhibitions,valid,200,https://www.nationalgallery.org.uk/exhibitions
London,UK,Tate Modern,https://www.tate.org.uk/visit/tate-modern,valid,200,https://www.tate.org.uk/visit/tate-modern
London,UK,Tate Britain,https://www.tate.org.uk/visit/tate-britain,valid,200,https://www.tate.org.uk/visit/tate-britain
London,UK,Victoria and Albert Museum (V&A),https://www.vam.ac.uk/whatson,valid,200,https://www.vam.ac.uk/whatson
London,UK,National Portrait Gallery (London),https://www.npg.org.uk/whatson,browser_blocked,403,https://www.npg.org.uk/whatson
New York,USA,Metropolitan Museum of Art,https://www.metmuseum.org/exhibitions,valid,200,https://www.metmuseum.org/exhibitions
New York,USA,Museum of Modern Art (MoMA),https://www.moma.org/calendar/exhibitions,browser_blocked,403,https://www.moma.org/calendar/exhibitions
New York,USA,Solomon R. Guggenheim Museum,https://www.guggenheim.org/exhibitions,valid,200,https://www.guggenheim.org/exhibitions
New York,USA,Whitney Museum of American Art,https://whitney.org/exhibitions,valid,200,https://whitney.org/exhibitions
New York,USA,Brooklyn Museum,https://www.brooklynmuseum.org/exhibitions,valid,200,https://www.brooklynmuseum.org/exhibitions
Washington,USA,National Gallery of Art,https://www.nga.gov/exhibitions,valid,200,https://www.nga.gov/calendar?tab=exhibitions
Washington,USA,Smithsonian American Art Museum,https://americanart.si.edu/exhibitions,valid,200,https://americanart.si.edu/exhibitions
Dublin,Ireland,National Gallery of Ireland,https://www.nationalgallery.ie/art-and-artists/exhibitions/upcoming-exhibitions,valid,200,https://www.nationalgallery.ie/art-and-artists/exhibitions/upcoming-exhibitions
Madrid,Spain,Museo Nacional del Prado,https://www.museodelprado.es/en/whats-on/exhibitions,browser_blocked,403,https://www.museodelprado.es/en/whats-on/exhibitions
Madrid,Spain,Museo Nacional Centro de Arte Reina Sofía,https://www.museoreinasofia.es/en/exhibitions,browser_blocked,403,https://www.museoreinasofia.es//en/exhibition/
